PropertyID,Country,Type,Bedrooms,Bathrooms,SquareFootage,Price,ListedDate,Status,Img,Location
101,Canada,Single Family,5,3,750,400000,7/25/2023,Sold,https://image.cnbcfm.com/api/v1/image/103500764-GettyImages-147205632-2.jpg?v=1691157601&w=929&h=523&vtcrop=y,"Toronto, 123 Maple St"
102,Australia,Townhouse,4,1,1800,900000,1/10/2023,Sold,https://www.vapf.com/blog/wp-content/uploads/2017/06/2012-06-08ImamenPostNuevaPromocionMagnoliasDesign-1080x498.jpg,"Sydney, 34 George St"
103,Germany,Townhouse,4,2,1000,500000,7/10/2024,Sold,https://www.vapf.com/blog/wp-content/uploads/2017/06/2011-09-08ImagenPostChaletsIbicencosCumbredelSol.jpg,"Berlin, 12 Alexanderplatz"
104,Japan,Apartment,1,1,1800,800000,1/29/2022,Sold,https://medias.residences-immobilier.com/pict/international/f520x390/3/3/6/0/ext_0_3360003.jpg?t=1707501160,"Tokyo, 1 Chiyoda"
105,Brazil,Condo,1,2,750,300000,4/9/2023,Sold,https://cdn.thinkwebcontent.com/property/35351/7381745/20240523210210/w1024h576/s640x480/x-232259784.jpg,"São Paulo, 33 Paulista Ave"
106,South Africa,Single Family,2,2,1200,200000,3/30/2024,Sold,https://lid.zoocdn.com/645/430/6f7de01d9bc1f8950af4917469f1814318888b7e.jpg,"Cape Town, 123 Long St"
107,India,Single Family,5,1,2000,400000,6/1/2024,Pending,https://www.mckissock.com/wp-content/uploads/2016/11/GettyImages-1151832961.jpg,"Mumbai, 50 Marine Drive"
108,Italy,Townhouse,5,3,2500,400000,3/13/2022,Sold,https://m3.spitogatos.gr/242316401_300x220.jpg?v=20130730,"Rome, 25 Via del Corso"
109,France,Apartment,2,1,2000,700000,3/31/2022,Sold,https://assets.onepropertee.com/720x540/crop/listing_images/fb-img-1653465287210-6.zn5xnqH2jSN7n9X6H.jpg,"Paris, 50 Champs-Élysées"
110,Mexico,Condo,1,1,2500,700000,12/6/2023,Pending,https://assets.onepropertee.com/720x540/crop/listing_images/img-0c8ef561b3a0eabd638945928a4eeb9b-v.N4knESQ4yBsJpmA6S.jpg,"Mexico City, 67 Reforma Ave"
111,Canada,Single Family,1,2,1500,300000,3/25/2022,Sold,https://pix.dotproperty.co.th/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzL2M3Njc0NWM4LTExYzgtNGRmZC1hYWRkLWRjMzk0ZTM5ZDIwNC9hNmMwYmQxNy03NmE4LTQzZWQtYWZlNC0xMGIzYjVmYWEzNDAuanBnIiwiYnJhbmQiOiJET1RQUk9QRVJUWSIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDkwLCJoZWlnaHQiOjMyNSwiZml0IjoiY292ZXIifX19,"Toronto, 123 Maple St"
112,Australia,Apartment,1,3,750,400000,4/11/2024,Pending,https://mediavault.point2.com/p2a/htmltext/620c/c690/bcc1/c1fdc6c4068582165f30/original.jpg,"Sydney, 34 George St"
113,Germany,Apartment,4,4,750,1000000,1/7/2024,Sold,https://photos.zillowstatic.com/fp/6222ffef7a99942647c94379375385ea-cc_ft_960.jpg,"Berlin, 12 Alexanderplatz"
114,Japan,Single Family,5,3,1000,900000,3/29/2024,Sold,https://photos.zillowstatic.com/fp/a040dcb66681d1d3c54149600a1cb972-cc_ft_960.jpg,"Tokyo, 1 Chiyoda"
115,Brazil,Condo,5,1,1000,500000,3/16/2023,Sold,https://photos.zillowstatic.com/fp/1725203ab0ec042bd839fcc5bbec4f96-cc_ft_1536.jpg,"São Paulo, 33 Paulista Ave"
116,South Africa,Single Family,3,4,1000,900000,9/11/2023,Pending,https://photos.zillowstatic.com/fp/dfafb4ae5dc197b1385496a025cce6e8-cc_ft_960.jpg,"Cape Town, 123 Long St"
117,India,Apartment,3,1,1200,500000,8/14/2023,Sold,https://img.freepik.com/premium-photo/luxury-house-with-swimming-pool-isolated-empty-white-background-real-estate-sale-property_667286-7582.jpg,"Mumbai, 50 Marine Drive"
118,Italy,Townhouse,4,4,1000,300000,9/29/2022,Pending,https://img.freepik.com/premium-photo/luxury-modern-real-estate-home-contemporary-house_938627-198.jpg,"Rome, 25 Via del Corso"
119,France,Townhouse,4,3,750,200000,4/29/2023,Pending,https://img.freepik.com/premium-photo/house-modern-style-with-courtyard-panoramic-windows-3d-render-house_727625-681.jpg,"Paris, 50 Champs-Élysées"
120,Mexico,Apartment,5,1,1000,300000,1/10/2023,Sold,"https://easy-peasy.ai/cdn-cgi/image/quality=80,format=auto,width=700/https://fdczvxmwwjwpwbeeqcth.supabase.co/storage/v1/object/public/images/268c4b03-533f-4e81-aec1-0c22df466a90/4f5ea4f7-ab1e-49e7-9757-7f4b3ede7820.png","Mexico City, 67 Reforma Ave"
121,Canada,Apartment,3,2,1800,200000,8/2/2022,Pending,https://plus.unsplash.com/premium_photo-1661954372617-15780178eb2e?fm=jpg&q=60&w=3000&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8bHV4dXJ5JTIwcmVhbCUyMGVzdGF0ZXxlbnwwfHwwfHx8MA%3D%3D,"Toronto, 123 Maple St"
122,Australia,Condo,2,4,2500,1000000,6/26/2022,Pending,https://media.rightmove.co.uk/dir/crop/10:9-16:9/204k/203147/121885529/203147_1342113-1_IMG_02_0000_max_476x317.jpeg,"Sydney, 34 George St"
123,Germany,Apartment,1,4,1800,1000000,8/24/2024,Sold,https://media.rightmove.co.uk/dir/216k/215192/139088444/215192_26600911_IMG_13_0003_max_656x437.jpeg,"Berlin, 12 Alexanderplatz"
124,Japan,Condo,5,4,1500,700000,5/31/2024,Sold,https://assets.site-static.com/userFiles/1075/image/si-modern-home.png,"Tokyo, 1 Chiyoda"
125,Brazil,Apartment,2,4,1800,500000,9/29/2023,Pending,https://content.api.news/v3/images/bin/164008cf6daa2b8cd2fe7df1e7635484,"São Paulo, 33 Paulista Ave"
126,South Africa,Condo,4,4,1500,500000,8/13/2024,Sold,https://assets-listings.rew.ca/brc_idx_rew/brc/R2811252/20230901193317/01.jpeg,"Cape Town, 123 Long St"
127,India,Single Family,1,2,2500,300000,7/17/2022,Sold,https://mediaserver.realestate.co.nz/listings/42608710/92a882559fcbf91ff2a6852d6ba9dca2.crop.768x512.jpg?options=compress,"Mumbai, 50 Marine Drive"
128,Italy,Townhouse,4,1,1800,200000,2/3/2022,Sold,https://mediaserver.realestate.co.nz/listings/42632555/cf757ea61fc8fe87ce615171913eee6e.crop.324x208.jpg?options=compress,"Rome, 25 Via del Corso"
129,France,Condo,3,2,2500,800000,2/4/2022,Sold,https://www.ghanarealestatedevelopers.com/wp-content/uploads/2018/04/GHANAREALESTATEDEVELOPERS-1-19.jpg,"Paris, 50 Champs-Élysées"
130,Mexico,Townhouse,2,3,1200,300000,1/26/2022,Sold,https://images-listings.coldwellbanker.com/OR_SOMLS/22/01/70/88/2/_P/220170882_P00.jpg,"Mexico City, 67 Reforma Ave"
131,Canada,Single Family,1,1,1500,800000,4/17/2024,Sold,https://lid.zoocdn.com/645/430/6f7de01d9bc1f8950af4917469f1814318888b7e.jpg,"Toronto, 123 Maple St"
132,Australia,Condo,1,2,2500,700000,3/27/2024,Sold,https://www.mckissock.com/wp-content/uploads/2016/11/GettyImages-1151832961.jpg,"Sydney, 34 George St"
133,Germany,Single Family,4,1,1800,900000,10/27/2022,Sold,https://m3.spitogatos.gr/242316401_300x220.jpg?v=20130730,"Berlin, 12 Alexanderplatz"
134,Japan,Condo,5,3,1500,200000,10/28/2023,Sold,https://assets.onepropertee.com/720x540/crop/listing_images/fb-img-1653465287210-6.zn5xnqH2jSN7n9X6H.jpg,"Tokyo, 1 Chiyoda"
135,Brazil,Townhouse,2,2,2500,300000,8/2/2022,Sold,https://assets.onepropertee.com/720x540/crop/listing_images/img-0c8ef561b3a0eabd638945928a4eeb9b-v.N4knESQ4yBsJpmA6S.jpg,"São Paulo, 33 Paulista Ave"
136,South Africa,Single Family,1,3,2000,600000,2/24/2024,Sold,https://pix.dotproperty.co.th/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzL2M3Njc0NWM4LTExYzgtNGRmZC1hYWRkLWRjMzk0ZTM5ZDIwNC9hNmMwYmQxNy03NmE4LTQzZWQtYWZlNC0xMGIzYjVmYWEzNDAuanBnIiwiYnJhbmQiOiJET1RQUk9QRVJUWSIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDkwLCJoZWlnaHQiOjMyNSwiZml0IjoiY292ZXIifX19,"Cape Town, 123 Long St"
137,India,Apartment,1,4,1500,700000,10/28/2022,Sold,https://mediavault.point2.com/p2a/htmltext/620c/c690/bcc1/c1fdc6c4068582165f30/original.jpg,"Mumbai, 50 Marine Drive"
138,Italy,Single Family,3,1,1800,300000,10/2/2022,Sold,https://photos.zillowstatic.com/fp/6222ffef7a99942647c94379375385ea-cc_ft_960.jpg,"Rome, 25 Via del Corso"
139,France,Condo,2,1,750,800000,11/17/2022,Sold,https://photos.zillowstatic.com/fp/a040dcb66681d1d3c54149600a1cb972-cc_ft_960.jpg,"Paris, 50 Champs-Élysées"
140,Mexico,Townhouse,2,2,1000,700000,6/4/2022,Sold,https://photos.zillowstatic.com/fp/1725203ab0ec042bd839fcc5bbec4f96-cc_ft_1536.jpg,"Mexico City, 67 Reforma Ave"
141,Canada,Apartment,1,3,1500,600000,8/7/2024,Sold,https://photos.zillowstatic.com/fp/dfafb4ae5dc197b1385496a025cce6e8-cc_ft_960.jpg,"Toronto, 123 Maple St"
142,Australia,Apartment,2,1,2000,600000,7/20/2023,Sold,https://img.freepik.com/premium-photo/luxury-house-with-swimming-pool-isolated-empty-white-background-real-estate-sale-property_667286-7582.jpg,"Sydney, 34 George St"
143,Germany,Single Family,2,4,1500,600000,4/11/2023,Pending,https://estatehouserd.com/wp-content/uploads/2024/05/project_1_1.png,"Berlin, 12 Alexanderplatz"
144,Japan,Single Family,1,4,1500,900000,11/10/2022,Sold,https://thegreensgh.com/wp-content/uploads/slider/cache/2dd7e954146fa7a139344e68d7af7bf5/Greens-18-4-scaled.webp,"Tokyo, 1 Chiyoda"
145,Brazil,Apartment,1,3,1000,400000,7/9/2023,Sold,https://www.adobe.com/creativecloud/photography/discover/media_1159b19a8225b2413136806b0be15e4c921e3d122.png?width=750&format=png&optimize=medium,"São Paulo, 33 Paulista Ave"
146,South Africa,Single Family,4,3,2000,400000,8/29/2023,Sold,https://i2.au.reastatic.net/800x600/abafe5a063891c635b1d496539ee21f0ccccde46481b4f53732dc826c7034e5f/image.jpg,"Cape Town, 123 Long St"
147,India,Townhouse,4,2,1500,800000,4/12/2023,Sold,https://media.licdn.com/dms/image/C4D12AQHyQFztScy7lQ/article-cover_image-shrink_600_2000/0/1631006149800?e=2147483647&v=beta&t=FSTJIlkktklps6VGbJLGVVehV4W8RfLEIVayCXpoLkQ,"Mumbai, 50 Marine Drive"
148,Italy,Apartment,4,3,2500,700000,9/10/2023,Sold,https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/44/ef/f6/978233714.jpg,"Rome, 25 Via del Corso"
149,France,Apartment,4,4,1500,500000,7/17/2023,Sold,https://s3.eu-west-2.amazonaws.com/online24-production/listings/zfdqa/photos/ghcostablanca-propiedades-6321dd540aae8-source-gl.jpg,"Paris, 50 Champs-Élysées"
150,Mexico,Single Family,2,4,1800,200000,12/28/2023,Sold,https://res.listglobally.com/listings/5784499/87164663/4c457cd7d377048b644c3b3cc66d63b6?mode=crop&height=300,"Mexico City, 67 Reforma Ave"
151,Canada,Single Family,3,1,750,1000000,8/21/2022,Pending,https://res.listglobally.com/listings/6239657/94745460/ffa44617f2ac8e0505ba36d6aac6b7f0?mode=crop&height=300,"Toronto, 123 Maple St"
152,Australia,Condo,1,4,2000,1000000,9/12/2023,Sold,https://cdn.pixabay.com/photo/2016/11/18/17/46/house-1836070_1280.jpg,"Sydney, 34 George St"
153,Germany,Single Family,1,4,1200,300000,12/18/2023,Sold,https://clarity.pk/wp-content/uploads/2021/03/realestate-pakistan-scaled.jpg,"Berlin, 12 Alexanderplatz"
154,Japan,Apartment,5,1,1200,1000000,7/31/2023,Sold,https://image.cnbcfm.com/api/v1/image/103500764-GettyImages-147205632-2.jpg?v=1691157601&w=929&h=523&vtcrop=y,"Tokyo, 1 Chiyoda"
155,Brazil,Apartment,3,2,2000,900000,8/24/2024,Pending,https://www.vapf.com/blog/wp-content/uploads/2017/06/2012-06-08ImamenPostNuevaPromocionMagnoliasDesign-1080x498.jpg,"São Paulo, 33 Paulista Ave"
156,South Africa,Condo,3,3,1000,700000,3/25/2024,Sold,https://www.vapf.com/blog/wp-content/uploads/2017/06/2011-09-08ImagenPostChaletsIbicencosCumbredelSol.jpg,"Cape Town, 123 Long St"
157,India,Condo,1,1,2000,900000,11/24/2022,Sold,https://medias.residences-immobilier.com/pict/international/f520x390/3/3/6/0/ext_0_3360003.jpg?t=1707501160,"Mumbai, 50 Marine Drive"
158,Italy,Apartment,3,1,2000,600000,7/12/2022,Sold,https://photos.zillowstatic.com/fp/6222ffef7a99942647c94379375385ea-cc_ft_960.jpg,"Rome, 25 Via del Corso"
159,France,Condo,5,2,1200,200000,11/19/2022,Sold,https://photos.zillowstatic.com/fp/a040dcb66681d1d3c54149600a1cb972-cc_ft_960.jpg,"Paris, 50 Champs-Élysées"
160,Mexico,Apartment,2,3,750,900000,9/23/2023,Sold,https://photos.zillowstatic.com/fp/1725203ab0ec042bd839fcc5bbec4f96-cc_ft_1536.jpg,"Mexico City, 67 Reforma Ave"
161,Canada,Single Family,4,3,1200,400000,7/19/2022,Pending,https://photos.zillowstatic.com/fp/dfafb4ae5dc197b1385496a025cce6e8-cc_ft_960.jpg,"Toronto, 123 Maple St"
162,Australia,Apartment,5,3,750,500000,3/31/2022,Sold,https://img.freepik.com/premium-photo/luxury-house-with-swimming-pool-isolated-empty-white-background-real-estate-sale-property_667286-7582.jpg,"Sydney, 34 George St"
163,Germany,Condo,4,1,750,700000,4/1/2024,Sold,https://estatehouserd.com/wp-content/uploads/2024/05/project_1_1.png,"Berlin, 12 Alexanderplatz"
164,Japan,Single Family,1,4,1800,600000,6/10/2023,Sold,https://img.freepik.com/premium-photo/luxury-modern-real-estate-home-contemporary-house_938627-198.jpg,"Tokyo, 1 Chiyoda"
165,Brazil,Apartment,2,4,1200,200000,9/26/2022,Sold,https://img.freepik.com/premium-photo/house-modern-style-with-courtyard-panoramic-windows-3d-render-house_727625-681.jpg,"São Paulo, 33 Paulista Ave"
166,South Africa,Apartment,5,1,1500,600000,8/14/2024,Pending,"https://easy-peasy.ai/cdn-cgi/image/quality=80,format=auto,width=700/https://fdczvxmwwjwpwbeeqcth.supabase.co/storage/v1/object/public/images/268c4b03-533f-4e81-aec1-0c22df466a90/4f5ea4f7-ab1e-49e7-9757-7f4b3ede7820.png","Cape Town, 123 Long St"
167,India,Condo,3,4,2000,700000,9/17/2022,Sold,https://plus.unsplash.com/premium_photo-1661954372617-15780178eb2e?fm=jpg&q=60&w=3000&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8bHV4dXJ5JTIwcmVhbCUyMGVzdGF0ZXxlbnwwfHwwfHx8MA%3D%3D,"Mumbai, 50 Marine Drive"
168,Italy,Condo,2,2,1000,1000000,11/20/2022,Sold,https://media.rightmove.co.uk/dir/crop/10:9-16:9/204k/203147/121885529/203147_1342113-1_IMG_02_0000_max_476x317.jpeg,"Rome, 25 Via del Corso"
169,France,Townhouse,5,4,1500,300000,10/15/2022,Sold,https://media.rightmove.co.uk/dir/216k/215192/139088444/215192_26600911_IMG_13_0003_max_656x437.jpeg,"Paris, 50 Champs-Élysées"
170,Mexico,Apartment,2,1,1200,600000,6/22/2022,Sold,https://assets.site-static.com/userFiles/1075/image/si-modern-home.png,"Mexico City, 67 Reforma Ave"
171,Canada,Single Family,1,4,1200,1000000,7/12/2024,Sold,https://content.api.news/v3/images/bin/164008cf6daa2b8cd2fe7df1e7635484,"Toronto, 123 Maple St"
172,Australia,Condo,3,2,1500,200000,6/28/2024,Pending,https://lh3.googleusercontent.com/IrX8q_pNLb4ZmB4k8X5OOqLlNaXVrrCk4BT1WTaxtjB2mBSLfDQKSbi_-NnuirlA6D0YwfOrHvZlSL_SC1ssut0Uk8WPVxXHfEFzvWEgBWHMv7EIJfcBKzz7NRxdwA=s0,"Sydney, 34 George St"
173,Germany,Single Family,4,4,1800,300000,9/11/2023,Pending,https://thegreensgh.com/wp-content/uploads/slider/cache/2dd7e954146fa7a139344e68d7af7bf5/Greens-18-4-scaled.webp,"Berlin, 12 Alexanderplatz"
174,Japan,Townhouse,4,4,1200,300000,4/25/2023,Sold,https://www.adobe.com/creativecloud/photography/discover/media_1159b19a8225b2413136806b0be15e4c921e3d122.png?width=750&format=png&optimize=medium,"Tokyo, 1 Chiyoda"
175,Brazil,Condo,4,2,1800,1000000,1/15/2024,Sold,https://i2.au.reastatic.net/800x600/abafe5a063891c635b1d496539ee21f0ccccde46481b4f53732dc826c7034e5f/image.jpg,"São Paulo, 33 Paulista Ave"
176,South Africa,Single Family,5,3,2500,600000,2/24/2023,Sold,https://media.licdn.com/dms/image/C4D12AQHyQFztScy7lQ/article-cover_image-shrink_600_2000/0/1631006149800?e=2147483647&v=beta&t=FSTJIlkktklps6VGbJLGVVehV4W8RfLEIVayCXpoLkQ,"Cape Town, 123 Long St"
177,India,Apartment,2,2,2000,200000,11/2/2023,Sold,https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/44/ef/f6/978233714.jpg,"Mumbai, 50 Marine Drive"
178,Italy,Single Family,3,4,2000,500000,4/10/2022,Sold,https://s3.eu-west-2.amazonaws.com/online24-production/listings/zfdqa/photos/ghcostablanca-propiedades-6321dd540aae8-source-gl.jpg,"Rome, 25 Via del Corso"
179,France,Apartment,3,3,1000,200000,10/8/2023,Sold,https://res.listglobally.com/listings/5784499/87164663/4c457cd7d377048b644c3b3cc66d63b6?mode=crop&height=300,"Paris, 50 Champs-Élysées"
180,Mexico,Single Family,5,3,1200,900000,1/16/2023,Pending,https://res.listglobally.com/listings/6239657/94745460/ffa44617f2ac8e0505ba36d6aac6b7f0?mode=crop&height=300,"Mexico City, 67 Reforma Ave"
181,Canada,Apartment,3,1,1500,200000,8/11/2024,Sold,https://cdn.pixabay.com/photo/2016/11/18/17/46/house-1836070_1280.jpg,"Toronto, 123 Maple St"
182,Australia,Apartment,3,1,1800,1000000,4/29/2024,Sold,https://clarity.pk/wp-content/uploads/2021/03/realestate-pakistan-scaled.jpg,"Sydney, 34 George St"
183,Germany,Single Family,2,2,1000,300000,12/27/2023,Sold,https://image.cnbcfm.com/api/v1/image/103500764-GettyImages-147205632-2.jpg?v=1691157601&w=929&h=523&vtcrop=y,"Berlin, 12 Alexanderplatz"
184,Japan,Condo,2,2,750,400000,1/30/2022,Sold,https://www.vapf.com/blog/wp-content/uploads/2017/06/2012-06-08ImamenPostNuevaPromocionMagnoliasDesign-1080x498.jpg,"Tokyo, 1 Chiyoda"
185,Brazil,Apartment,2,2,1000,1000000,2/8/2022,Sold,https://www.vapf.com/blog/wp-content/uploads/2017/06/2011-09-08ImagenPostChaletsIbicencosCumbredelSol.jpg,"São Paulo, 33 Paulista Ave"
186,South Africa,Townhouse,5,4,1800,700000,9/4/2022,Sold,https://assets.onepropertee.com/720x540/crop/listing_images/img-0c8ef561b3a0eabd638945928a4eeb9b-v.N4knESQ4yBsJpmA6S.jpg,"Cape Town, 123 Long St"
187,India,Single Family,5,2,1200,1000000,8/8/2024,Sold,https://pix.dotproperty.co.th/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzL2M3Njc0NWM4LTExYzgtNGRmZC1hYWRkLWRjMzk0ZTM5ZDIwNC9hNmMwYmQxNy03NmE4LTQzZWQtYWZlNC0xMGIzYjVmYWEzNDAuanBnIiwiYnJhbmQiOiJET1RQUk9QRVJUWSIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDkwLCJoZWlnaHQiOjMyNSwiZml0IjoiY292ZXIifX19,"Mumbai, 50 Marine Drive"
188,Italy,Townhouse,5,1,1200,400000,3/20/2022,Pending,https://mediavault.point2.com/p2a/htmltext/620c/c690/bcc1/c1fdc6c4068582165f30/original.jpg,"Rome, 25 Via del Corso"
189,France,Apartment,3,2,750,300000,7/9/2023,Sold,https://photos.zillowstatic.com/fp/6222ffef7a99942647c94379375385ea-cc_ft_960.jpg,"Paris, 50 Champs-Élysées"
190,Mexico,Apartment,4,3,2500,500000,2/12/2023,Sold,https://photos.zillowstatic.com/fp/a040dcb66681d1d3c54149600a1cb972-cc_ft_960.jpg,"Mexico City, 67 Reforma Ave"
191,Canada,Single Family,3,1,1800,700000,7/12/2023,Sold,https://photos.zillowstatic.com/fp/1725203ab0ec042bd839fcc5bbec4f96-cc_ft_1536.jpg,"Toronto, 123 Maple St"
192,Australia,Townhouse,2,3,1200,200000,2/22/2022,Pending,https://photos.zillowstatic.com/fp/dfafb4ae5dc197b1385496a025cce6e8-cc_ft_960.jpg,"Sydney, 34 George St"
193,Germany,Apartment,4,4,1200,400000,1/13/2023,Sold,https://img.freepik.com/premium-photo/luxury-house-with-swimming-pool-isolated-empty-white-background-real-estate-sale-property_667286-7582.jpg,"Berlin, 12 Alexanderplatz"
194,Japan,Townhouse,1,2,1800,700000,12/31/2023,Sold,https://estatehouserd.com/wp-content/uploads/2024/05/project_1_1.png,"Tokyo, 1 Chiyoda"
195,Brazil,Condo,4,1,1000,1000000,7/20/2022,Sold,https://img.freepik.com/premium-photo/luxury-modern-real-estate-home-contemporary-house_938627-198.jpg,"São Paulo, 33 Paulista Ave"
196,South Africa,Single Family,2,3,2000,800000,9/29/2022,Sold,https://img.freepik.com/premium-photo/house-modern-style-with-courtyard-panoramic-windows-3d-render-house_727625-681.jpg,"Cape Town, 123 Long St"
197,India,Apartment,2,1,1500,400000,6/4/2024,Pending,"https://easy-peasy.ai/cdn-cgi/image/quality=80,format=auto,width=700/https://fdczvxmwwjwpwbeeqcth.supabase.co/storage/v1/object/public/images/268c4b03-533f-4e81-aec1-0c22df466a90/4f5ea4f7-ab1e-49e7-9757-7f4b3ede7820.png","Mumbai, 50 Marine Drive"
198,Italy,Single Family,2,3,1000,900000,9/23/2022,Sold,https://plus.unsplash.com/premium_photo-1661954372617-15780178eb2e?fm=jpg&q=60&w=3000&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8bHV4dXJ5JTIwcmVhbCUyMGVzdGF0ZXxlbnwwfHwwfHx8MA%3D%3D,"Rome, 25 Via del Corso"
199,France,Townhouse,2,1,1800,900000,2/28/2024,Sold,https://media.rightmove.co.uk/dir/crop/10:9-16:9/204k/203147/121885529/203147_1342113-1_IMG_02_0000_max_476x317.jpeg,"Paris, 50 Champs-Élysées"
200,Mexico,Single Family,1,3,2000,300000,10/22/2023,Sold,https://media.rightmove.co.uk/dir/216k/215192/139088444/215192_26600911_IMG_13_0003_max_656x437.jpeg,"Mexico City, 67 Reforma Ave"
